Fichier          Welzl(nanosecondes)    Naif(nanosecondes)
test-1103.points      2016700                 237850800
test-1104.points      700500                 163943400
test-1105.points      479300                 197664100
test-1106.points      468100                 118921500
test-1107.points      106600                 102378500
test-1108.points      618200                 76583800
test-1109.points      653600                 85050900
test-111.points      514000                 79117200
test-1110.points      253600                 95448500
test-1111.points      174500                 97998600
test-1112.points      463100                 126683000
test-1113.points      473300                 105079600
test-1114.points      1090700                 107642300
test-1115.points      535800                 157325000
test-1116.points      450900                 185660800
test-1117.points      493700                 172723700
test-1118.points      406300                 161271900
test-1119.points      172800                 118514800
test-112.points      494000                 111598700
test-1120.points      476000                 115721900
test-1121.points      216900                 149223200
test-1122.points      249800                 104095900
test-1123.points      398700                 95002000
test-1124.points      233700                 109319100
test-1125.points      787200                 108412600
test-1126.points      478700                 168289700
test-1127.points      509100                 135206000
test-1128.points      1144900                 169539700
test-1129.points      439700                 164961800
test-113.points      782700                 250900
test-1130.points      1064800                 281159100
test-1131.points      634000                 190925800
test-1132.points      1121900                 186356800
test-1133.points      1105000                 143659400
test-1134.points      670400                 124336300
test-1135.points      500800                 116533600
test-1136.points      726700                 126522600
test-1137.points      1350800                 98185000
test-1138.points      593100                 179680600
test-1139.points      1944100                 172083000
test-114.points      1291000                 197256600
test-1140.points      2107900                 239845600
test-1141.points      364000                 150743200
test-1142.points      276200                 144401100
test-1143.points      351500                 98779900
test-1144.points      264700                 115477800
test-1145.points      523000                 152154900
test-1146.points      472800                 127703800
test-1147.points      788400                 171197400
test-1148.points      909700                 180233200
test-1149.points      387500                 421900
test-115.points      291200                 198274100
test-1150.points      351600                 201602700
test-1151.points      540300                 79765600
test-1152.points      106300                 153752400
test-1153.points      708500                 167206700
test-1154.points      345100                 190717100
test-1155.points      1441200                 213503900
test-1156.points      400100                 182172200
test-1157.points      810300                 217135200
test-1158.points      709300                 186503300
test-1159.points      1167300                 205391300
test-116.points      625900                 192988500
test-1160.points      1202400                 232868700
test-1161.points      1109100                 172534000
test-1162.points      691500                 176096600
test-1163.points      466000                 118116200
test-1164.points      291100                 88962500
test-1165.points      452300                 109822800
test-1166.points      362500                 87377800
test-1167.points      407500                 116876300
test-1168.points      524900                 125756000
test-1169.points      543800                 174629200
test-117.points      1304700                 128573700
test-1170.points      318600                 211064800
test-1171.points      403200                 116300
test-1172.points      275500                 154782100
test-1173.points      1208100                 211326000
test-1174.points      531300                 182045600
test-1175.points      1292100                 181154100
test-1176.points      576500                 137493100
test-1177.points      727800                 220103200
test-1178.points      1031200                 178255200
test-1179.points      1055600                 133034500
test-118.points      1159000                 126226600
test-1180.points      375300                 147500600
test-1181.points      1029300                 181179500
test-1182.points      413300                 173738900
test-1183.points      112400                 180960300
test-1184.points      644100                 226076700
test-1185.points      412700                 116807000
test-1186.points      217600                 114751400
test-1187.points      398400                 97627500
test-1188.points      389400                 677200
test-1189.points      611500                 167759500
test-119.points      1154800                 174846000
test-1190.points      586900                 208675300
test-1191.points      1278900                 215873200
test-1192.points      483100                 194810800
test-1193.points      1320200                 167849300
test-1194.points      666800                 84746100
test-1195.points      424800                 87902000
test-1196.points      378500                 89489700
test-1197.points      734500                 118418600
test-1198.points      346300                 139804700
test-1199.points      1672900                 200975600
test-12.points      658000                 255196100
test-120.points      992700                 237363400
test-1200.points      773900                 214117800
test-1201.points      803100                 212322000
test-1202.points      956300                 200057200
test-1203.points      1072500                 181525200
test-1204.points      373900                 230185800
test-1205.points      1016700                 157236600
test-1206.points      916400                 191994400
test-1207.points      229100                 73998000
test-1208.points      385800                 142793600
test-1209.points      591300                 226332300
test-121.points      1345000                 202084500
test-1210.points      921400                 138683200
test-1211.points      660500                 195298600
test-1212.points      699000                 129751000
test-1213.points      836000                 133335600
test-1214.points      700000                 210900700
test-1215.points      544400                 196399200
test-1216.points      1501700                 145531700
test-1217.points      399200                 83592600
test-1218.points      509200                 76476500
test-1219.points      388500                 93186300
test-122.points      401200                 88634700
test-1220.points      836900                 107235500
test-1221.points      309500                 157307100
test-1222.points      417300                 101431600
test-1223.points      583100                 245304500
test-1224.points      519100                 142892200
test-1225.points      871200                 265167500
test-1226.points      1152400                 132295500
test-1227.points      973500                 110312600
test-1228.points      339700                 142554000
test-1229.points      383500                 127763700
test-123.points      404300                 188494900
test-1230.points      625100                 147743100
test-1231.points      1883300                 222375900
test-1232.points      935200                 208097300
test-1233.points      938300                 233700500
test-1234.points      723700                 196278000
test-1235.points      767900                 206350600
test-1236.points      332400                 229838900
test-1237.points      652600                 209616400
test-1238.points      939600                 208923100
test-1239.points      835000                 206346000
test-124.points      1257000                 163072400
test-1240.points      1055200                 262861900
test-1241.points      763400                 185016700
test-1242.points      1112500                 202887300
test-1243.points      1106600                 292400
test-1244.points      751900                 209585100
test-1245.points      1469500                 171327700
test-1246.points      1039100                 199882500
test-1247.points      784800                 191334200
test-1248.points      844100                 203907100
test-1249.points      806700                 194124500
test-125.points      1802600                 234341800
test-1250.points      382800                 185072000
test-1251.points      1169500                 182843600
test-1252.points      993300                 203971300
test-1253.points      813800                 288855000
test-1254.points      389500                 224835800
test-1255.points      5060400                 202724200
test-1256.points      1275400                 180536200
test-1257.points      1254100                 240822600
test-1258.points      1672400                 214488600
test-1259.points      612400                 222149600
test-126.points      656500                 180440700
test-1260.points      406300                 175006600
test-1261.points      530400                 182341500
test-1262.points      1016200                 105193400
test-1263.points      569500                 81199600
test-1264.points      1574600                 150701200
test-1265.points      175000                 98614500
test-1266.points      508400                 241078300
test-1267.points      1230400                 247854500
test-1268.points      398200                 98484100
test-1269.points      402400                 118060800
test-127.points      318300                 79726100
test-1270.points      567200                 84861800
test-1271.points      373300                 91918400
test-1272.points      290900                 78959000
test-1273.points      402200                 100914300
test-1274.points      226800                 144302200
test-1275.points      820400                 146867300
test-1276.points      360000                 126419000
test-1277.points      618800                 188088100
test-1278.points      584600                 258406800
test-1279.points      750400                 166690400
test-128.points      592500                 199960000
test-1280.points      424900                 215151100
test-1281.points      357800                 319576100
test-1282.points      1534700                 112777500
test-1283.points      421100                 103128400
test-1284.points      346500                 172470700
test-1285.points      300400                 100143400
test-1286.points      263600                 92114900
test-1287.points      373600                 77722700
test-1288.points      389600                 109782200
test-1289.points      592800                 179402200
test-129.points      989100                 208049700
test-1290.points      979700                 199798400
test-1291.points      303700                 148424800
test-1292.points      310800                 83528800
test-1293.points      286700                 98873000
test-1294.points      639200                 121630500
test-1295.points      938000                 130037700
test-1296.points      653000                 104637400
test-1297.points      157600                 139448600
test-1298.points      165900                 95413300
test-1299.points      837500                 103137900
test-13.points      243700                 127008900
test-130.points      963800                 118630500
test-1300.points      516500                 122427000
test-1301.points      658700                 168220900
test-1302.points      1031800                 145144000
test-1303.points      563900                 102277200
test-1304.points      570800                 167390500
test-1305.points      668500                 212727700
test-1306.points      1332000                 195695000
test-1307.points      1153500                 209208100
test-1308.points      1147600                 212881800
test-1309.points      939300                 186065900
test-131.points      1124700                 174241700
test-1310.points      1293400                 197387400
test-1311.points      1848100                 266893600
test-1312.points      1054500                 178401500
test-1313.points      1308100                 220695400
test-1314.points      499300                 214199300
test-1315.points      381000                 182760000
test-1316.points      1137900                 223671600
test-1317.points      1126700                 211223500
test-1318.points      826200                 259790200
test-1319.points      1190100                 199831500
test-132.points      1983400                 209428700
test-1320.points      609600                 185708800
test-1321.points      240700                 207245200
test-1322.points      647400                 202245900
test-1323.points      1472400                 177441700
test-1324.points      789000                 196060400
test-1325.points      339000                 52400
test-1326.points      410700                 214381900
test-1327.points      1368000                 176281300
test-1328.points      1256500                 163132400
test-1329.points      315700                 194231100
test-133.points      975400                 187427200
test-1330.points      1433100                 230368200
test-1331.points      816100                 204555700
test-1332.points      549900                 248434300
test-1333.points      1284200                 265124300
test-1334.points      840400                 234364200
test-1335.points      714600                 134669000
test-1336.points      773600                 115446200
test-1337.points      652700                 100134900
test-1338.points      272300                 89817400
test-1339.points      269700                 96710100
test-134.points      620600                 109887000
test-1340.points      488400                 89940600
test-1341.points      513900                 111561900
test-1342.points      269300                 114192500
test-1343.points      430400                 154890100
test-1344.points      784700                 173299800
test-1345.points      1704300                 174071800
test-1346.points      1200800                 209368700
test-1347.points      1013000                 205820700
test-1348.points      1131800                 171756900
test-1349.points      1330300                 229051000
test-135.points      1031000                 184809900
test-1350.points      910600                 193117700
test-1351.points      1394100                 180364000
test-1352.points      1192000                 168990000
test-1353.points      659100                 221745300
test-1354.points      274000                 176162600
test-1355.points      1181200                 216056800
test-1356.points      678200                 197920900
test-1357.points      819500                 215334500
test-1358.points      1453000                 241655300
test-1359.points      1545300                 195954500
test-136.points      278300                 146909400
test-1360.points      693000                 168207900
test-1361.points      1084800                 236409800
test-1362.points      726000                 194806100
test-1363.points      880200                 204137200
test-1364.points      719000                 239027100
test-1365.points      539200                 210859200
test-1366.points      1125100                 228113200
test-1367.points      1322500                 1175800
test-1368.points      592100                 239660300
test-1369.points      330200                 169708400
test-137.points      1817100                 218291600
test-1370.points      702400                 194189200
test-1371.points      1624000                 225587700
test-1372.points      944800                 236249000
test-1373.points      629300                 202265500
test-1374.points      831600                 184971500
test-1375.points      953500                 235408400
test-1376.points      1262400                 266983000
test-1377.points      551300                 170237300
test-1378.points      806000                 187705000
test-1379.points      1137200                 253395600
test-138.points      599600                 220929500
test-1380.points      992300                 251402200
test-1381.points      435100                 203373000
test-1382.points      916300                 239382500
test-1383.points      540600                 208537600
test-1384.points      309500                 164899700
test-1385.points      986900                 110321200
test-1386.points      474300                 79771200
test-1387.points      505900                 92183700
test-1388.points      183100                 96166600
test-1389.points      573900                 146827500
test-139.points      424400                 171430500
test-1390.points      682000                 199253700
test-1391.points      715000                 169189800
test-1392.points      482700                 205078500
test-1393.points      513800                 189458400
test-1394.points      899800                 234583200
test-1395.points      797100                 203803600
test-1396.points      4960700                 190779000
test-1397.points      781600                 176392600
test-1398.points      1330700                 177585800
test-1399.points      1011800                 968900
test-14.points      527600                 197966500
test-140.points      799000                 218799400
test-1400.points      1129000                 228485000
test-1401.points      646200                 182172700
test-1402.points      804200                 202650500
test-1403.points      934600                 198664400
test-1404.points      803400                 171732100
test-1405.points      1095200                 220685300
test-1406.points      699500                 162956900
test-1407.points      780300                 168535900
test-1408.points      351500                 237210400
test-1409.points      891500                 214525400
test-141.points      688600                 229136600
test-1410.points      413000                 213693500
test-1411.points      1078100                 208687500
test-1412.points      1847700                 225449400
test-1413.points      737300                 112015900
test-1414.points      307200                 148097400
test-1415.points      223900                 70757600
test-1416.points      235000                 85576300
test-1417.points      297700                 63951200
test-1418.points      263900                 71875900
test-1419.points      307400                 149299100
test-142.points      638500                 199406700
test-1420.points      1034500                 174855800
test-1421.points      285900                 97027800
test-1422.points      247900                 108462000
test-1423.points      343900                 166483800
test-1424.points      681600                 184543600
test-1425.points      1037400                 244139600
test-1426.points      1071100                 170143400
test-1427.points      798100                 237945800
test-1428.points      642100                 160633300
test-1429.points      708100                 220651300
test-143.points      1289400                 138230700
test-1430.points      435100                 172607200
test-1431.points      313000                 92568400
test-1432.points      439800                 133855300
test-1433.points      481500                 125471000
test-1434.points      271100                 173720200
test-1435.points      1072800                 188677000
test-1436.points      1255200                 154625800
test-1437.points      1114800                 223965300
test-1438.points      955800                 173871700
test-1439.points      676200                 226512600
test-144.points      2419700                 203589300
test-1440.points      661000                 113000600
test-1441.points      1798300                 100237100
test-1442.points      278700                 141492900
test-1443.points      566400                 217124700
test-1444.points      652600                 215402600
test-1445.points      572200                 230171000
test-1446.points      1018800                 219225100
test-1447.points      747000                 232411500
test-1448.points      288800                 1322800
test-1449.points      364600                 150446400
test-145.points      230300                 84922000
test-1450.points      399700                 79668300
test-1451.points      612200                 83975100
test-1452.points      599100                 78285600
test-1453.points      409300                 167055400
test-1454.points      836700                 207559600
test-1455.points      1158000                 252308400
test-1456.points      1121000                 209446900
test-1457.points      911500                 211729900
test-1458.points      968600                 203222800
test-1459.points      1065100                 255188900
test-146.points      404100                 187101800
test-1460.points      866800                 134686500
test-1461.points      264000                 122798800
test-1462.points      1366500                 177128700
test-1463.points      302600                 143293800
test-1464.points      274900                 172109000
test-1465.points      1002600                 160752200
test-1466.points      720500                 211780600
test-1467.points      685400                 159695800
test-1468.points      1528000                 206336000
test-1469.points      560300                 232238300
test-147.points      1155400                 170008400
test-1470.points      965000                 194223100
test-1471.points      949800                 163978100
test-1472.points      564600                 176813400
test-1473.points      472900                 180323100
test-1474.points      1705500                 228085200
test-1475.points      1280700                 170962600
test-1476.points      884800                 213917100
test-1477.points      904800                 185077800
test-1478.points      945400                 238982400
test-1479.points      842800                 197249800
test-148.points      716200                 212041200
test-1480.points      768800                 202515800
test-1481.points      1049600                 180731100
test-1482.points      644300                 219766100
test-1483.points      552200                 244182500
test-1484.points      2242900                 192917100
test-1485.points      750100                 177342200
test-1486.points      1412300                 224218400
test-1487.points      1712600                 228123200
test-1488.points      565700                 173544600
test-1489.points      1715100                 216244100
test-149.points      608600                 174071900
test-1490.points      646200                 218662900
test-1491.points      392100                 230820500
test-1492.points      814600                 442100
test-1493.points      1451200                 190155000
test-1494.points      1459900                 198452600
test-1495.points      739900                 191046300
test-1496.points      616400                 267092900
test-1497.points      1720100                 219914400
test-1498.points      987000                 243631900
test-1499.points      1080300                 204838000
test-15.points      847300                 228961700
test-150.points      1009800                 173857400
test-1500.points      1226600                 249067100
test-1501.points      1752500                 259566900
test-1502.points      791000                 202969600
test-1503.points      1135300                 248368600
test-1504.points      562800                 221768900
test-1505.points      799500                 203406600
test-1506.points      1394200                 195064000
test-1507.points      1294000                 241781400
test-1508.points      350700                 1474300
test-1509.points      651800                 194787000
test-151.points      752700                 229582100
test-1510.points      502100                 248682200
test-1511.points      454500                 248736200
test-1512.points      2226800                 199849000
test-1513.points      2148000                 196827500
test-1514.points      967900                 206943900
test-1515.points      283200                 171060100
test-1516.points      610000                 228520300
test-1517.points      849300                 170150000
test-1518.points      445400                 236523800
test-1519.points      1039100                 211235500
test-152.points      493600                 188688000
test-1520.points      1030300                 175470200
test-1521.points      1904500                 203435600
test-1522.points      314900                 283011500
test-1523.points      972700                 193959000
test-1524.points      1030700                 182946200
test-1525.points      568100                 212865800
test-1526.points      762300                 197693900
test-1527.points      1020900                 187317400
test-1528.points      367800                 241383400
test-1529.points      558200                 251110400
test-153.points      527500                 188199200
test-1530.points      735400                 192131000
test-1531.points      787300                 180265500
test-1532.points      305100                 210194700
test-1533.points      324100                 218798100
test-1534.points      504000                 190170900
test-1535.points      825600                 173101600
test-1536.points      723900                 246776100
test-1537.points      2240900                 177703300
test-1538.points      1116100                 179135900
test-1539.points      639300                 195240500
test-154.points      691200                 204416100
test-1540.points      717100                 171038000
test-1541.points      701700                 190466700
test-1542.points      1772800                 209365700
test-1543.points      587800                 249807600
test-1544.points      525700                 246569700
test-1545.points      894700                 206090100
test-1546.points      702200                 270240100
test-1547.points      925900                 215710600
test-1548.points      810100                 236390100
test-1549.points      425500                 182199300
test-155.points      1016300                 175067000
test-1550.points      985500                 221275500
test-1551.points      405600                 239337300
test-1552.points      1107200                 204069100
test-1553.points      1115900                 89218700
test-1554.points      140700                 62012600
test-1555.points      454600                 71518000
test-1556.points      159000                 67312000
test-1557.points      177300                 132319600
test-1558.points      1204600                 190397600
test-1559.points      847500                 213179100
test-156.points      2278900                 150023200
test-1560.points      139500                 129589300
test-1561.points      607100                 123810800
test-1562.points      1976800                 167003700
test-1563.points      894300                 197940200
test-1564.points      582000                 189611000
test-1565.points      1280100                 231722800
test-1566.points      939400                 205636600
test-1567.points      1586200                 205717200
test-1568.points      1104600                 213132700
test-1569.points      1149300                 202223100
test-157.points      809300                 208563600
test-1570.points      476300                 196088800
test-1571.points      1440100                 232694900
test-1572.points      542800                 229408400
test-1573.points      1727400                 206625800
test-1574.points      1264700                 232867500
test-1575.points      1415200                 225417000
test-1576.points      988200                 246748700
test-1577.points      645500                 228523700
test-1578.points      697900                 266489600
test-1579.points      1710300                 228275500
test-158.points      392900                 248652500
test-1580.points      678000                 222227100
test-1581.points      571600                 208134400
test-1582.points      1412400                 184482500
test-1583.points      665400                 209239600
test-1584.points      848600                 212707700
test-1585.points      1042800                 225833700
test-1586.points      806900                 219001700
test-1587.points      709300                 212443000
test-1588.points      1525800                 182826000
test-1589.points      969600                 261193500
test-159.points      905100                 160794300
test-1590.points      761100                 180159300
test-1591.points      1120700                 214748100
test-1592.points      213900                 226122400
test-1593.points      1130800                 172114900
test-1594.points      703100                 217874800
test-1595.points      1039300                 196474100
test-1596.points      838500                 204522800
test-1597.points      793800                 231255200
test-1598.points      746400                 223815500
test-1599.points      497200                 185491900
test-16.points      854700                 221661700
test-160.points      1574800                 232505400
test-1600.points      928700                 182804100
test-1601.points      1071200                 178204400
test-1602.points      889100                 222039300
test-1603.points      536400                 234404000
test-1604.points      944500                 196350700
test-1605.points      967400                 228774900
test-1606.points      709700                 237067000
test-1607.points      583100                 184034700
test-1608.points      1027000                 209863500
test-1609.points      944000                 245443400
test-161.points      1069100                 210801400
test-1610.points      1861300                 226418000
test-1611.points      655800                 194000700
test-1612.points      1442000                 236698200
test-1613.points      708900                 197666300
test-1614.points      1155900                 211461000
test-1615.points      1184600                 233466200
test-1616.points      681400                 199983300
test-1617.points      427400                 177180100
test-1618.points      1013300                 222456000
test-1619.points      797200                 229328600
test-162.points      904000                 207875100
test-1620.points      1160000                 216813200
test-1621.points      960000                 208724100
test-1622.points      576100                 226092300
test-1623.points      1655100                 246587000
test-1624.points      1351500                 230558000
test-1625.points      1347400                 257778400
test-1626.points      605600                 221324900
test-1627.points      1139600                 233503200
test-1628.points      1403600                 171473600
test-1629.points      909400                 207409000
test-163.points      1128400                 173592800
test-1630.points      404800                 187109700
test-1631.points      379700                 240067400
test-1632.points      1506100                 226442800
test-1633.points      1319100                 226975800
test-1634.points      1247700                 218288800
test-1635.points      719400                 181408000
test-1636.points      1636800                 177060700
test-1637.points      848400                 194934000
test-1638.points      1598900                 161975300
test-1639.points      862600                 236495300
test-164.points      1514500                 198819600
test-1640.points      756500                 241228700
test-1641.points      534000                 177384600
test-1642.points      595700                 164791400
test-1643.points      1290300                 253190300
test-1644.points      1002600                 199556100
test-1645.points      956500                 190564300
test-1646.points      1257100                 173521900
test-1647.points      402600                 172963000
test-1648.points      467800                 193496000
test-1649.points      524700                 190347500
test-165.points      602000                 243516100
test-1650.points      223200                 171352400
test-1651.points      1294900                 226549500
test-1652.points      1177200                 221697900
test-1653.points      1569600                 231472500
test-1654.points      995400                 281793800
test-1655.points      1654000                 236407600
test-1656.points      1217500                 236395100
test-1657.points      505000                 193001800
test-1658.points      732500                 204923900
test-1659.points      462700                 207043800
test-166.points      1115400                 233240200
test-1660.points      976800                 190288700
test-1661.points      744900                 241849000
test-1662.points      1098500                 193024100
test-1663.points      1166600                 223331300
test-1664.points      880400                 192276400
test-167.points      830700                 205406900
test-168.points      1659600                 188405100
test-169.points      861500                 232984700
test-17.points      453800                 173147600
test-170.points      826500                 229298000
test-171.points      399200                 238381700
test-172.points      731900                 173909100
test-173.points      1466100                 196013500
test-174.points      1391700                 171230800
test-175.points      870400                 149739100
test-176.points      683800                 199302700
test-177.points      4520800                 168674900
test-178.points      1413700                 163849100
test-179.points      507200                 230490500
test-18.points      1381500                 240298500
test-180.points      1066800                 173352600
test-181.points      475400                 216256300
test-182.points      748600                 157381800
test-183.points      1028000                 147856800
test-184.points      571700                 91671900
test-185.points      577000                 189230300
test-186.points      255800                 175576400
test-187.points      968100                 192728800
test-188.points      1258100                 235545800
test-189.points      587300                 183335900
test-19.points      530200                 177638000
test-190.points      927200                 213311900
test-191.points      1212300                 188391400
test-192.points      773200                 198818700
test-193.points      649200                 135372200
test-194.points      667200                 204678300
test-195.points      1282800                 232208600
test-196.points      759200                 123619200
test-197.points      633700                 126547500
test-198.points      287100                 165997500
test-199.points      355600                 452400
test-2.points      1789700                 187918900
test-20.points      1351000                 152126100
test-200.points      244800                 118691900
test-201.points      390500                 90309100
test-202.points      576600                 97570800
test-203.points      308300                 120343000
test-204.points      401800                 115976100
test-205.points      264800                 102815700
test-206.points      588500                 135574300
test-207.points      428400                 75764400
test-208.points      551400                 144514300
test-209.points      1135200                 198730500
test-21.points      888800                 217507800
test-210.points      595700                 129574500
test-211.points      1174100                 214068500
test-212.points      543100                 218263100
test-213.points      849100                 195810900
test-214.points      1880800                 200129200
test-215.points      498400                 173916600
test-216.points      672900                 132845700
test-217.points      301400                 105588300
test-218.points      624000                 89546000
test-219.points      326700                 91995100
test-22.points      420900                 107410800
test-220.points      604700                 73678400
test-221.points      463100                 89814500
test-222.points      412500                 102331300
test-223.points      617500                 104141900
test-224.points      231400                 191614500
test-225.points      523400                 197854900
test-226.points      1022900                 194543700
test-227.points      1546100                 236828100
test-228.points      1537200                 203470400
test-229.points      470600                 199338500
test-23.points      992600                 219790700
test-230.points      1242800                 363800
test-231.points      412100                 165348400
test-232.points      569000                 195335100
test-233.points      639900                 106400
test-234.points      477300                 205417000
test-235.points      799400                 223644900
test-236.points      492400                 213705200
test-237.points      1279800                 161094900
test-238.points      1186500                 222474700
test-239.points      957200                 248937300
test-24.points      970600                 189713900
test-240.points      611900                 207079900
test-241.points      633300                 182246800
test-242.points      2305500                 162601500
test-243.points      1046900                 188070100
test-244.points      365600                 256764900
test-245.points      710900                 208778300
test-246.points      410000                 234402700
test-247.points      363700                 191537700
test-248.points      705800                 201757800
test-249.points      1486100                 232477200
test-25.points      418100                 215985600
test-250.points      1053300                 231224000
test-251.points      1098500                 214980300
test-252.points      759300                 211747900
test-253.points      534300                 232864400
test-254.points      245900                 216095600
test-255.points      1954700                 507600
test-256.points      1139700                 201335100
test-257.points      1692200                 217843000
test-258.points      859900                 227128000
test-259.points      978300                 211612300
test-26.points      1356800                 196731000
test-260.points      264100                 135044500
test-261.points      215500                 170345200
test-262.points      746000                 210790600
test-263.points      2086000                 223910900
test-264.points      605500                 253951900
test-265.points      1088400                 229368600
test-266.points      670600                 222105200
test-267.points      649400                 179832600
test-268.points      2082400                 235805700
test-269.points      1149600                 178782800
test-27.points      510600                 211363600
test-270.points      706700                 220519400
test-271.points      1297900                 237257200
test-272.points      548200                 198638800
test-273.points      490100                 203496300
test-274.points      769900                 188539600
test-275.points      666800                 191416400
test-276.points      1001500                 187267800
test-277.points      1222700                 180064400
test-278.points      1541100                 164794800
test-279.points      549600                 198651600
test-28.points      621200                 264912100
test-280.points      837300                 208026700
test-281.points      1471900                 223531500
test-282.points      676400                 182528600
test-283.points      916200                 195010500
test-284.points      1193800                 165655400
test-285.points      1710300                 207186900
test-286.points      1200700                 202459200
test-287.points      1717700                 183195500
test-288.points      1328700                 207492100
test-289.points      1099400                 204635000
test-29.points      739500                 193308100
test-290.points      859600                 173282100
test-291.points      1076200                 206035000
test-292.points      363300                 209590700
test-293.points      672000                 204751100
test-294.points      1187200                 246562600
test-295.points      731900                 164683200
test-296.points      1326300                 191855800
test-297.points      501400                 193748600
test-298.points      881700                 184381700
test-299.points      872000                 227293200
test-3.points      768800                 217090800
test-30.points      842500                 189425500
test-300.points      995200                 178682100
test-301.points      1256100                 231449600
test-302.points      1634200                 229470500
test-303.points      846900                 190510700
test-304.points      645800                 195210100
test-305.points      690600                 191005800
test-306.points      1183300                 210378200
test-307.points      490600                 191072000
test-308.points      456700                 219435900
test-309.points      1195800                 215682000
test-31.points      946400                 196036200
test-310.points      875000                 188408900
test-311.points      629400                 242169400
test-312.points      5188700                 210563400
test-313.points      420000                 216349600
test-314.points      1029500                 241457700
test-315.points      550600                 183640800
test-316.points      1225200                 155136900
test-317.points      487000                 180644600
test-318.points      337600                 231763500
test-319.points      1100400                 82951300
test-32.points      474500                 80600600
test-320.points      221500                 68170200
test-321.points      404600                 91617500
test-322.points      365900                 168014100
test-323.points      1573300                 212484500
test-324.points      521500                 212297900
test-325.points      1729400                 181614800
test-326.points      487900                 221715800
test-327.points      1203000                 190242300
test-328.points      934200                 196812200
test-329.points      311900                 155602300
test-33.points      1105800                 197804800
test-330.points      1238400                 237904000
test-331.points      585300                 222335800
test-332.points      334000                 192262900
test-333.points      1676200                 185584800
test-334.points      736200                 267813000
test-335.points      861300                 212475300
